Product_Price,Order_Quantity,Return_Status,Days_to_Return,User_Age,Discount_Applied,Order_Weekday,Order_Month,Order_Year,Total_Amount,Product_Category_Clothing,Product_Category_Electronics,Product_Category_Home,Product_Category_Toys,User_Gender_Male,Payment_Method_Debit Card,Payment_Method_Gift Card,Payment_Method_PayPal,Shipping_Method_Next-Day,Shipping_Method_Standard,Return_Reason_Defective,Return_Reason_No Return,Return_Reason_Not as described,Return_Reason_Wrong item
411.59,3,1,387.0,58,45.27,5,8,2023,1234.77,True,False,False,False,True,True,False,False,True,False,False,False,False,False
288.88,3,1,31.0,68,47.79,0,10,2023,866.64,False,False,False,False,False,False,False,False,False,False,False,False,False,True
390.03,5,0,-1.0,22,26.64,5,5,2023,1950.1499999999999,False,False,False,True,False,True,False,False,True,False,False,True,False,False
401.09,3,0,-1.0,40,15.37,3,8,2024,1203.27,False,False,False,True,True,False,False,True,True,False,False,True,False,False
110.09,4,0,-1.0,34,16.37,0,1,2023,440.36,False,False,False,False,False,False,True,False,False,True,False,True,False,False
252.12,1,1,221.0,46,47.61,2,2,2024,252.12,False,True,False,False,False,True,False,False,True,False,True,False,False,False
382.89,2,1,66.0,25,28.49,0,5,2023,765.78,True,False,False,False,True,False,False,False,False,False,False,False,False,True
306.39,3,1,539.0,67,38.91,3,2,2023,919.17,False,True,False,False,False,False,False,False,False,False,False,False,True,False
294.94,3,1,317.0,44,45.21,4,3,2023,884.8199999999999,True,False,False,False,True,False,False,False,False,True,False,False,True,False
119.0,2,0,-1.0,70,8.72,6,5,2024,238.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False
480.48,4,0,-1.0,54,0.27,3,2,2024,1921.92,False,False,True,False,True,False,True,False,True,False,False,True,False,False
216.41,3,0,-1.0,66,30.26,4,6,2024,649.23,False,False,False,True,True,False,False,True,False,True,False,True,False,False
198.78,2,0,-1.0,51,36.58,5,7,2023,397.56,False,True,False,False,True,False,False,True,True,False,False,True,False,False
